,place:postalveolar,manner:affricate,voice:voiced,same_voice,outcome,same_place,same_manner,place:alveolar,manner:plosive,voice:voiceless,place:labiodental,manner:fricative,manner:tap,place:bilabial,place:velar,manner:approximant,place:interdental,place:pharyngeal,manner:trill,place:uvular,manner:lateral_approximant,manner:nasal_plosive,place:retroflex,place:dental,place:glottal,voice:None,place:palatal,place:labial-velar,place:alveolo-palatal,manner:lateral_fricative,place:epiglottal
chim1309_d̠ʒ,1,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kway1241_d̠ʒ,1,1,1,11,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jica1244_d̠ʒ,1,1,1,9,0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yape1248_d̠ʒ,1,1,1,13,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tani1257_d̠ʒ,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
embe1259_d̠ʒ,1,1,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
como1259_d̠ʒ,1,1,1,10,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wels1247_d̠ʒ,1,1,1,11,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pano1254_d̠ʒ,1,1,1,6,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chen1255_d̠ʒ,1,1,1,24,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
anga1288_d̠ʒ,1,1,1,25,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kete1252_d̠ʒ,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
